1;Ana Costa;100999673;24-05-1980;41.237523;-8.669673
2;Ana Vilas;101019673;03-06-1980;41.237524;-8.669674
3;Andre Martins;101039673;13-06-1980;41.237525;-8.669675
4;Andre Nogueira;101059673;23-06-1980;41.237526;-8.669676
5;Andre Silva;101079673;03-07-1980;41.237527;-8.669677
6;Antonio Ferreira;101099673;13-07-1980;41.237528;-8.669678
7;Antonio Martins;101119673;23-07-1980;41.237529;-8.669679
8;António Vieira;101139673;02-08-1980;41.237530;-8.669680
9;Barbara Magalhaes;101159673;12-08-1980;41.237531;-8.669681
10;Bruno Silva;101179673;22-08-1980;41.237532;-8.669682
11;Carina Santos;101199673;01-09-1980;41.237533;-8.669683
12;Catarina Fernandes;101219673;11-09-1980;41.237534;-8.669684
13;Claudia Faria;101239673;21-09-1980;41.237535;-8.669685

